what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345042199037
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345042211757
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345042233811
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345042235061
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1345042235163
closed,editor,com.android.ide.eclipse.adt,20.0.0.v201206242043-391819,"com.android.ide.eclipse.editors.CommonXmlEditor",1345042235163
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1345042239595
opened,editor,com.android.ide.eclipse.adt,20.0.0.v201206242043-391819,"com.android.ide.eclipse.editors.CommonXmlEditor",1345042241105
activated,editor,com.android.ide.eclipse.adt,20.0.0.v201206242043-391819,"com.android.ide.eclipse.editors.CommonXmlEditor",1345042241185
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1345042265311
error,log,,,"activity_main.xml: java.util.LinkedHashMap.eldest()Ljava/util/Map$Entry;",1345042270823
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1345042276835
activated,editor,com.android.ide.eclipse.adt,20.0.0.v201206242043-391819,"com.android.ide.eclipse.editors.CommonXmlEditor",1345042276995
activated,view,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.pde.runtime.LogView",1345042279665
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345042281097
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345042289897
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345042291317
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345042343469
activated,editor,com.android.ide.eclipse.adt,20.0.0.v201206242043-391819,"com.android.ide.eclipse.editors.CommonXmlEditor",1345042345259
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1345042347291
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1345042347881
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1345042358503
activated,view,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.pde.runtime.LogView",1345042376155
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1345042380005
opened,editor,com.android.ide.eclipse.adt,20.0.0.v201206242043-391819,"com.android.ide.eclipse.editors.CommonXmlEditor",1345042383795
activated,editor,com.android.ide.eclipse.adt,20.0.0.v201206242043-391819,"com.android.ide.eclipse.editors.CommonXmlEditor",1345042383825
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1345042390547
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1345042394557
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1345042394607
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1345042403293
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1345042416323
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1345042417633
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1345042417763
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345042419423
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345042424623
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345042426383
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345042433453
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1345042436463
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1345042437433
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345042440199
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345042440329
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345042442455
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345042442545
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1345042444085
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1345042446701
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1345042448991
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1345042451241
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1345042452101
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345042456293
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345042535431
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1345042535451
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345042555587
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345042559727
